dataset	ARG_type	mean_percent	median_percent	Q1_percent	Q3_percent
AR-MAG	multidrug	50.5255077748062	53.125	47.2222222222222	58.1207801950488
Isolate	multidrug	47.2541024056386	49.0909090909091	44.1176470588235	54
AR-MAG	fluoroquinolone antibiotic	7.25202377614632	8.33333333333333	0	10.6382978723404
Isolate	fluoroquinolone antibiotic	7.41352936315257	7.84313725490196	7.01754385964912	8.33333333333333
AR-MAG	peptide antibiotic	5.80559619193001	7.69230769230769	0	9.52380952380952
Isolate	peptide antibiotic	7.69227221475881	8.33333333333333	7.35294117647059	9.43396226415094
AR-MAG	nucleoside antibiotic	4.05654791985669	5.26315789473684	0	6.81818181818182
Isolate	nucleoside antibiotic	3.72878962128844	4.83870967741935	0	5.76923076923077
AR-MAG	aminocoumarin antibiotic	2.77078848950876	2.15078630897318	0	5.88235294117647
Isolate	aminocoumarin antibiotic	4.7361154128731	5.26315789473684	4.61538461538462	5.76923076923077
AR-MAG	aminoglycoside antibiotic	5.39986902430803	2.7027027027027	0	4.65116279069767
Isolate	aminoglycoside antibiotic	8.38917452070939	7.27272727272727	4.08163265306122	9.33333333333333
AR-MAG	Other	24.189666823444	12.5	8.39285714285714	19.3238213399503
Isolate	Other	20.7860164615791	17.5438596491228	12.5	22.4137931034483
